Frame,TPS,ThreadCount
1,0.00,8
2,0.00,8
3,0.00,8
4,0.00,8
5,4.79,8
6,4.79,8
7,4.79,8
8,4.79,8
9,4.79,8
10,4.79,8
11,4.79,8
12,4.79,8
13,4.79,8
14,4.79,8
15,4.79,8
16,10.07,8
17,10.07,8
18,10.07,8
19,10.07,8
20,10.07,8
21,10.07,8
22,10.07,8
23,10.07,8
24,10.07,8
25,10.07,8
26,10.07,8
27,10.20,8
28,10.20,8
29,10.20,8
30,10.20,8
31,10.20,8
32,10.20,8
33,10.20,8
34,10.20,8
35,10.20,8
36,10.20,8
37,10.20,8
38,10.42,8
39,10.42,8
40,10.42,8
41,10.42,8
42,10.42,8
43,10.42,8
44,10.42,8
45,10.42,8
46,10.42,8
47,10.42,8
48,10.42,8
49,10.56,8
50,10.56,8
51,10.56,8
52,10.56,8
53,10.56,8
54,10.56,8
55,10.56,8
56,10.56,8
57,10.56,8
58,10.56,8
59,10.56,8
60,10.42,8
61,10.42,8
62,10.42,8
63,10.42,8
64,10.42,8
65,10.42,8
66,10.42,8
67,10.42,8
68,10.42,8
69,10.42,8
70,10.42,8
71,10.41,8
72,10.41,8
73,10.41,8
74,10.41,8
75,10.41,8
76,10.41,8
77,10.41,8
78,10.41,8
79,10.41,8
80,10.41,8
81,10.41,8
82,10.56,8
83,10.56,8
84,10.56,8
85,10.56,8
86,10.56,8
87,10.56,8
88,10.56,8
89,10.56,8
90,10.56,8
91,10.56,8
92,10.56,8
93,10.53,8
94,10.53,8
95,10.53,8
96,10.53,8
97,10.53,8
98,10.53,8
99,10.53,8
100,10.53,8
101,10.53,8
102,10.53,8
103,10.53,8
104,10.58,8
105,10.58,8
106,10.58,8
107,10.58,8
108,10.58,8
109,10.58,8
110,10.58,8
111,10.58,8
112,10.58,8
113,10.58,8
114,10.58,8
115,10.54,8
116,10.54,8
117,10.54,8
118,10.54,8
119,10.54,8
120,10.54,8
121,10.54,8
122,10.54,8
123,10.54,8
124,10.54,8
125,10.54,8
126,10.52,8
127,10.52,8
128,10.52,8
129,10.52,8
130,10.52,8
131,10.52,8
132,10.52,8
133,10.52,8
134,10.52,8
135,10.52,8
136,10.52,8
137,10.49,8
138,10.49,8
139,10.49,8
140,10.49,8
141,10.49,8
142,10.49,8
143,10.49,8
144,10.49,8
145,10.49,8
146,10.49,8
147,10.49,8
148,10.45,8
149,10.45,8
150,10.45,8
151,10.45,8
152,10.45,8
153,10.45,8
154,10.45,8
155,10.45,8
156,10.45,8
157,10.45,8
158,10.45,8
159,10.28,8
160,10.28,8
161,10.28,8
162,10.28,8
163,10.28,8
164,10.28,8
165,10.28,8
166,10.28,8
167,10.28,8
168,10.28,8
169,10.28,8
170,10.29,8
171,10.29,8
172,10.29,8
173,10.29,8
174,10.29,8
175,10.29,8
176,10.29,8
177,10.29,8
178,10.29,8
179,10.29,8
180,10.29,8
181,10.36,8
182,10.36,8
183,10.36,8
184,10.36,8
185,10.36,8
186,10.36,8
187,10.36,8
188,10.36,8
189,10.36,8
190,10.36,8
191,10.36,8
192,10.37,8
193,10.37,8
194,10.37,8
195,10.37,8
196,10.37,8
197,10.37,8
198,10.37,8
199,10.37,8
200,10.37,8
201,10.37,8
202,10.37,8
203,10.50,8
204,10.50,8
205,10.50,8
206,10.50,8
207,10.50,8
208,10.50,8
209,10.50,8
210,10.50,8
211,10.50,8
212,10.50,8
213,10.50,8
214,10.52,8
215,10.52,8
216,10.52,8
217,10.52,8
218,10.52,8
219,10.52,8
220,10.52,8
221,10.52,8
222,10.52,8
223,10.52,8
224,10.52,8
225,10.34,8
226,10.34,8
227,10.34,8
228,10.34,8
229,10.34,8
230,10.34,8
231,10.34,8
232,10.34,8
233,10.34,8
234,10.34,8
235,10.34,8
236,10.33,8
237,10.33,8
238,10.33,8
239,10.33,8
240,10.33,8
241,10.33,8
242,10.33,8
243,10.33,8
244,10.33,8
245,10.33,8
246,10.33,8
247,10.36,8
248,10.36,8
249,10.36,8
250,10.36,8
251,10.36,8
252,10.36,8
253,10.36,8
254,10.36,8
255,10.36,8
256,10.36,8
257,10.36,8
258,10.32,8
259,10.32,8
260,10.32,8
261,10.32,8
262,10.32,8
263,10.32,8
264,10.32,8
265,10.32,8
266,10.32,8
267,10.32,8
268,10.32,8
269,10.23,8
270,10.23,8
271,10.23,8
272,10.23,8
273,10.23,8
274,10.23,8
275,10.23,8
276,10.23,8
277,10.23,8
278,10.23,8
279,10.23,8
280,10.18,8
281,10.18,8
282,10.18,8
283,10.18,8
284,10.18,8
285,10.18,8
286,10.18,8
287,10.18,8
288,10.18,8
289,10.18,8
290,9.97,8
291,9.97,8
292,9.97,8
293,9.97,8
294,9.97,8
295,9.97,8
296,9.97,8
297,9.97,8
298,9.97,8
299,9.97,8
300,9.97,8
301,10.31,8
302,10.31,8
303,10.31,8
304,10.31,8
305,10.31,8
306,10.31,8
307,10.31,8
308,10.31,8
309,10.31,8
310,10.31,8
311,10.31,8
312,10.33,8
313,10.33,8
314,10.33,8
315,10.33,8
316,10.33,8
317,10.33,8
318,10.33,8
319,10.33,8
320,10.33,8
321,10.33,8
322,10.33,8
323,10.32,8
324,10.32,8
325,10.32,8
326,10.32,8
327,10.32,8
328,10.32,8
329,10.32,8
330,10.32,8
