Frame,TPS,ThreadCount
1,0.00,4
2,0.00,4
3,0.00,4
4,0.00,4
5,0.00,4
6,5.46,4
7,5.46,4
8,5.46,4
9,5.46,4
10,5.46,4
11,5.46,4
12,5.46,4
13,5.46,4
14,5.46,4
15,5.46,4
16,5.46,4
17,10.24,4
18,10.24,4
19,10.24,4
20,10.24,4
21,10.24,4
22,10.24,4
23,10.24,4
24,10.24,4
25,10.24,4
26,10.24,4
27,10.24,4
28,10.47,4
29,10.47,4
30,10.47,4
31,10.47,4
32,10.47,4
33,10.47,4
34,10.47,4
35,10.47,4
36,10.47,4
37,10.47,4
38,10.47,4
39,10.41,4
40,10.41,4
41,10.41,4
42,10.41,4
43,10.41,4
44,10.41,4
45,10.41,4
46,10.41,4
47,10.41,4
48,10.41,4
49,10.41,4
50,10.34,4
51,10.34,4
52,10.34,4
53,10.34,4
54,10.34,4
55,10.34,4
56,10.34,4
57,10.34,4
58,10.34,4
59,10.34,4
60,10.34,4
61,10.60,4
62,10.60,4
63,10.60,4
64,10.60,4
65,10.60,4
66,10.60,4
67,10.60,4
68,10.60,4
69,10.60,4
70,10.60,4
71,10.60,4
72,10.38,4
73,10.38,4
74,10.38,4
75,10.38,4
76,10.38,4
77,10.38,4
78,10.38,4
79,10.38,4
80,10.38,4
81,10.38,4
82,10.38,4
83,10.53,4
84,10.53,4
85,10.53,4
86,10.53,4
87,10.53,4
88,10.53,4
89,10.53,4
90,10.53,4
91,10.53,4
92,10.53,4
93,10.53,4
94,10.49,4
95,10.49,4
96,10.49,4
97,10.49,4
98,10.49,4
99,10.49,4
100,10.49,4
101,10.49,4
102,10.49,4
103,10.49,4
104,10.49,4
105,10.40,4
106,10.40,4
107,10.40,4
108,10.40,4
109,10.40,4
110,10.40,4
111,10.40,4
112,10.40,4
113,10.40,4
114,10.40,4
115,10.40,4
116,10.48,4
117,10.48,4
118,10.48,4
119,10.48,4
120,10.48,4
121,10.48,4
122,10.48,4
123,10.48,4
124,10.48,4
125,10.48,4
126,10.48,4
127,10.45,4
128,10.45,4
129,10.45,4
130,10.45,4
131,10.45,4
132,10.45,4
133,10.45,4
134,10.45,4
135,10.45,4
136,10.45,4
137,10.45,4
138,10.48,4
139,10.48,4
140,10.48,4
141,10.48,4
142,10.48,4
143,10.48,4
144,10.48,4
145,10.48,4
146,10.48,4
147,10.48,4
148,10.48,4
149,10.62,4
150,10.62,4
151,10.62,4
152,10.62,4
153,10.62,4
154,10.62,4
155,10.62,4
156,10.62,4
157,10.62,4
158,10.62,4
159,10.62,4
160,10.75,4
161,10.75,4
162,10.75,4
163,10.75,4
164,10.75,4
165,10.75,4
166,10.75,4
167,10.75,4
168,10.75,4
169,10.75,4
170,10.75,4
171,10.59,4
172,10.59,4
173,10.59,4
174,10.59,4
175,10.59,4
176,10.59,4
177,10.59,4
178,10.59,4
179,10.59,4
180,10.59,4
181,10.59,4
182,10.48,4
183,10.48,4
184,10.48,4
185,10.48,4
186,10.48,4
187,10.48,4
188,10.48,4
189,10.48,4
190,10.48,4
191,10.48,4
192,10.48,4
193,10.30,4
194,10.30,4
195,10.30,4
196,10.30,4
197,10.30,4
198,10.30,4
199,10.30,4
200,10.30,4
201,10.30,4
202,10.30,4
203,10.30,4
204,10.49,4
205,10.49,4
206,10.49,4
207,10.49,4
208,10.49,4
209,10.49,4
210,10.49,4
211,10.49,4
212,10.49,4
213,10.49,4
214,10.49,4
215,10.46,4
216,10.46,4
217,10.46,4
218,10.46,4
219,10.46,4
220,10.46,4
221,10.46,4
222,10.46,4
223,10.46,4
224,10.46,4
225,10.46,4
226,10.50,4
227,10.50,4
228,10.50,4
229,10.50,4
230,10.50,4
231,10.50,4
232,10.50,4
233,10.50,4
234,10.50,4
235,10.50,4
236,10.50,4
237,10.28,4
238,10.28,4
239,10.28,4
240,10.28,4
241,10.28,4
242,10.28,4
243,10.28,4
244,10.28,4
245,10.28,4
246,10.28,4
247,10.28,4
248,10.55,4
249,10.55,4
250,10.55,4
251,10.55,4
252,10.55,4
253,10.55,4
254,10.55,4
255,10.55,4
256,10.55,4
257,10.55,4
258,10.55,4
259,10.40,4
260,10.40,4
261,10.40,4
262,10.40,4
263,10.40,4
264,10.40,4
265,10.40,4
266,10.40,4
267,10.40,4
268,10.40,4
269,10.40,4
270,10.57,4
271,10.57,4
272,10.57,4
273,10.57,4
274,10.57,4
275,10.57,4
276,10.57,4
277,10.57,4
278,10.57,4
279,10.57,4
280,10.57,4
281,10.46,4
282,10.46,4
283,10.46,4
284,10.46,4
285,10.46,4
286,10.46,4
287,10.46,4
288,10.46,4
289,10.46,4
290,10.46,4
291,10.46,4
292,10.51,4
293,10.51,4
294,10.51,4
295,10.51,4
296,10.51,4
297,10.51,4
298,10.51,4
299,10.51,4
300,10.51,4
301,10.51,4
302,10.51,4
303,10.38,4
304,10.38,4
305,10.38,4
306,10.38,4
307,10.38,4
308,10.38,4
309,10.38,4
310,10.38,4
311,10.38,4
312,10.38,4
313,10.38,4
314,10.21,4
315,10.21,4
316,10.21,4
317,10.21,4
318,10.21,4
319,10.21,4
320,10.21,4
321,10.21,4
322,10.21,4
323,10.21,4
324,9.97,4
325,9.97,4
326,9.97,4
327,9.97,4
328,9.97,4
329,9.97,4
330,9.97,4
