Frame,TPS,ThreadCount
1,0.00,2
2,0.00,2
3,0.00,2
4,0.00,2
5,0.00,2
6,5.58,2
7,5.58,2
8,5.58,2
9,5.58,2
10,5.58,2
11,5.58,2
12,5.58,2
13,5.58,2
14,5.58,2
15,5.58,2
16,5.58,2
17,10.52,2
18,10.52,2
19,10.52,2
20,10.52,2
21,10.52,2
22,10.52,2
23,10.52,2
24,10.52,2
25,10.52,2
26,10.52,2
27,10.52,2
28,10.48,2
29,10.48,2
30,10.48,2
31,10.48,2
32,10.48,2
33,10.48,2
34,10.48,2
35,10.48,2
36,10.48,2
37,10.48,2
38,10.48,2
39,10.65,2
40,10.65,2
41,10.65,2
42,10.65,2
43,10.65,2
44,10.65,2
45,10.65,2
46,10.65,2
47,10.65,2
48,10.65,2
49,10.65,2
50,10.54,2
51,10.54,2
52,10.54,2
53,10.54,2
54,10.54,2
55,10.54,2
56,10.54,2
57,10.54,2
58,10.54,2
59,10.54,2
60,10.54,2
61,10.65,2
62,10.65,2
63,10.65,2
64,10.65,2
65,10.65,2
66,10.65,2
67,10.65,2
68,10.65,2
69,10.65,2
70,10.65,2
71,10.65,2
72,10.49,2
73,10.49,2
74,10.49,2
75,10.49,2
76,10.49,2
77,10.49,2
78,10.49,2
79,10.49,2
80,10.49,2
81,10.49,2
82,10.49,2
83,10.47,2
84,10.47,2
85,10.47,2
86,10.47,2
87,10.47,2
88,10.47,2
89,10.47,2
90,10.47,2
91,10.47,2
92,10.47,2
93,10.47,2
94,10.54,2
95,10.54,2
96,10.54,2
97,10.54,2
98,10.54,2
99,10.54,2
100,10.54,2
101,10.54,2
102,10.54,2
103,10.54,2
104,10.54,2
105,10.46,2
106,10.46,2
107,10.46,2
108,10.46,2
109,10.46,2
110,10.46,2
111,10.46,2
112,10.46,2
113,10.46,2
114,10.46,2
115,10.46,2
116,10.55,2
117,10.55,2
118,10.55,2
119,10.55,2
120,10.55,2
121,10.55,2
122,10.55,2
123,10.55,2
124,10.55,2
125,10.55,2
126,10.55,2
127,10.58,2
128,10.58,2
129,10.58,2
130,10.58,2
131,10.58,2
132,10.58,2
133,10.58,2
134,10.58,2
135,10.58,2
136,10.58,2
137,10.58,2
138,10.20,2
139,10.20,2
140,10.20,2
141,10.20,2
142,10.20,2
143,10.20,2
144,10.20,2
145,10.20,2
146,10.20,2
147,10.20,2
148,10.20,2
149,10.54,2
150,10.54,2
151,10.54,2
152,10.54,2
153,10.54,2
154,10.54,2
155,10.54,2
156,10.54,2
157,10.54,2
158,10.54,2
159,10.54,2
160,10.46,2
161,10.46,2
162,10.46,2
163,10.46,2
164,10.46,2
165,10.46,2
166,10.46,2
167,10.46,2
168,10.46,2
169,10.46,2
170,10.46,2
171,10.25,2
172,10.25,2
173,10.25,2
174,10.25,2
175,10.25,2
176,10.25,2
177,10.25,2
178,10.25,2
179,10.25,2
180,10.25,2
181,10.25,2
182,10.26,2
183,10.26,2
184,10.26,2
185,10.26,2
186,10.26,2
187,10.26,2
188,10.26,2
189,10.26,2
190,10.26,2
191,10.26,2
192,9.94,2
193,9.94,2
194,9.94,2
195,9.94,2
196,9.94,2
197,9.94,2
198,9.94,2
199,9.94,2
200,9.94,2
201,9.94,2
202,9.94,2
203,10.14,2
204,10.14,2
205,10.14,2
206,10.14,2
207,10.14,2
208,10.14,2
209,10.14,2
210,10.14,2
211,10.14,2
212,10.14,2
213,10.14,2
214,10.31,2
215,10.31,2
216,10.31,2
217,10.31,2
218,10.31,2
219,10.31,2
220,10.31,2
221,10.31,2
222,10.31,2
223,10.31,2
224,10.31,2
225,10.64,2
226,10.64,2
227,10.64,2
228,10.64,2
229,10.64,2
230,10.64,2
231,10.64,2
232,10.64,2
233,10.64,2
234,10.64,2
235,10.64,2
236,10.53,2
237,10.53,2
238,10.53,2
239,10.53,2
240,10.53,2
241,10.53,2
242,10.53,2
243,10.53,2
244,10.53,2
245,10.53,2
246,10.53,2
247,10.44,2
248,10.44,2
249,10.44,2
250,10.44,2
251,10.44,2
252,10.44,2
253,10.44,2
254,10.44,2
255,10.44,2
256,10.44,2
257,10.44,2
258,10.72,2
259,10.72,2
260,10.72,2
261,10.72,2
262,10.72,2
263,10.72,2
264,10.72,2
265,10.72,2
266,10.72,2
267,10.72,2
268,10.72,2
269,10.57,2
270,10.57,2
271,10.57,2
272,10.57,2
273,10.57,2
274,10.57,2
275,10.57,2
276,10.57,2
277,10.57,2
278,10.57,2
279,10.57,2
280,10.41,2
281,10.41,2
282,10.41,2
283,10.41,2
284,10.41,2
285,10.41,2
286,10.41,2
287,10.41,2
288,10.41,2
289,10.41,2
290,10.41,2
291,10.52,2
292,10.52,2
293,10.52,2
294,10.52,2
295,10.52,2
296,10.52,2
297,10.52,2
298,10.52,2
299,10.52,2
300,10.52,2
